time,value
2024-01-05 16:53:00+08:00,3147.3166666666666
2024-01-05 16:54:00+08:00,494776.13333333336
2024-01-05 16:55:00+08:00,695706.8666666667
2024-01-05 16:56:00+08:00,747414.0833333334
2024-01-05 16:57:00+08:00,752920.0666666667
2024-01-05 16:58:00+08:00,748818.7166666667
2024-01-05 16:59:00+08:00,738372.0
2024-01-05 17:00:00+08:00,708696.6
2024-01-05 17:01:00+08:00,680723.3666666667
2024-01-05 17:02:00+08:00,697115.25
2024-01-05 17:03:00+08:00,639766.7
2024-01-05 17:04:00+08:00,656600.7166666667
2024-01-05 17:05:00+08:00,671914.0833333334
2024-01-05 17:06:00+08:00,699646.1333333333
2024-01-05 17:07:00+08:00,698747.0666666667
2024-01-05 17:08:00+08:00,721171.3833333333
2024-01-05 17:09:00+08:00,755132.3833333333
2024-01-05 17:10:00+08:00,747572.4666666667
2024-01-05 17:11:00+08:00,716219.35
2024-01-05 17:12:00+08:00,747499.15
2024-01-05 17:13:00+08:00,744059.7166666667
2024-01-05 17:14:00+08:00,774628.75
2024-01-05 17:15:00+08:00,786913.5
2024-01-05 17:16:00+08:00,748418.9
2024-01-05 17:17:00+08:00,734868.25
2024-01-05 17:18:00+08:00,696121.2333333333
2024-01-05 17:19:00+08:00,701831.4833333333
2024-01-05 17:20:00+08:00,750553.25
2024-01-05 17:21:00+08:00,721773.1
2024-01-05 17:22:00+08:00,726992.6666666666
2024-01-05 17:23:00+08:00,789782.55
2024-01-05 17:24:00+08:00,742050.3
2024-01-05 17:25:00+08:00,707772.85
2024-01-05 17:26:00+08:00,751068.6333333333
2024-01-05 17:27:00+08:00,683206.0333333333
2024-01-05 17:28:00+08:00,634425.5
2024-01-05 17:29:00+08:00,693537.75
2024-01-05 17:30:00+08:00,666947.9833333333
2024-01-05 17:31:00+08:00,709343.95
2024-01-05 17:32:00+08:00,654407.0166666667
2024-01-05 17:33:00+08:00,690501.2333333333
2024-01-05 17:34:00+08:00,669211.1333333333
2024-01-05 17:35:00+08:00,708842.6333333333
2024-01-05 17:36:00+08:00,668729.0833333334
2024-01-05 17:37:00+08:00,677323.3166666667
2024-01-05 17:38:00+08:00,629778.1666666666
2024-01-05 17:39:00+08:00,592103.45
2024-01-05 17:40:00+08:00,610302.3
2024-01-05 17:41:00+08:00,648594.3
2024-01-05 17:42:00+08:00,605597.2
2024-01-05 17:43:00+08:00,634554.15
2024-01-05 17:44:00+08:00,597841.45
2024-01-05 17:45:00+08:00,647200.4333333333
2024-01-05 17:46:00+08:00,638914.5833333334
2024-01-05 17:47:00+08:00,628489.4166666666
2024-01-05 17:48:00+08:00,661355.95
2024-01-05 17:49:00+08:00,602936.15
2024-01-05 17:50:00+08:00,672284.7166666667
2024-01-05 17:51:00+08:00,577609.1333333333
2024-01-05 17:52:00+08:00,702582.6
2024-01-05 17:53:00+08:00,665422.65
2024-01-05 17:54:00+08:00,747333.3166666667
2024-01-05 17:55:00+08:00,740911.5166666667
2024-01-05 17:56:00+08:00,746357.8666666667
2024-01-05 17:57:00+08:00,729764.8666666667
2024-01-05 17:58:00+08:00,675983.7833333333
2024-01-05 17:59:00+08:00,608433.6
2024-01-05 18:00:00+08:00,692295.6666666666
2024-01-05 18:01:00+08:00,741908.1166666667
2024-01-05 18:02:00+08:00,764385.1333333333
2024-01-05 18:03:00+08:00,705867.55
2024-01-05 18:04:00+08:00,666601.3
2024-01-05 18:05:00+08:00,618975.0333333333
2024-01-05 18:06:00+08:00,622090.5166666667
2024-01-05 18:07:00+08:00,588529.5
2024-01-05 18:08:00+08:00,649089.7333333333
2024-01-05 18:09:00+08:00,611602.5166666667
2024-01-05 18:10:00+08:00,623874.8333333334
2024-01-05 18:11:00+08:00,644678.95
2024-01-05 18:12:00+08:00,639938.7666666667
2024-01-05 18:13:00+08:00,626505.4166666666
2024-01-05 18:14:00+08:00,651823.85
2024-01-05 18:15:00+08:00,626417.75
2024-01-05 18:16:00+08:00,626800.1833333333
2024-01-05 18:17:00+08:00,687720.1833333333
2024-01-05 18:18:00+08:00,609579.7166666667
2024-01-05 18:19:00+08:00,605685.7166666667
2024-01-05 18:20:00+08:00,578463.15
2024-01-05 18:21:00+08:00,561189.5333333333
2024-01-05 18:22:00+08:00,583831.1666666666
2024-01-05 18:23:00+08:00,616532.0666666667
2024-01-05 18:24:00+08:00,685728.6833333333
2024-01-05 18:25:00+08:00,671592.4166666666
2024-01-05 18:26:00+08:00,670618.55
2024-01-05 18:27:00+08:00,623321.9666666667
2024-01-05 18:28:00+08:00,623479.75
2024-01-05 18:29:00+08:00,638242.2
